,Username,Last Name,First Name,Chamber,Party,State,District,Date Assumed Office,Gender,,,,,,
0,SenShelby,Shelby,Richard,Senate,Republican,Alabama,None,"January 3, 1987",M,,,,,,
1,SenTuberville,Tuberville,Tommy,Senate,Republican,Alabama,None,"January 3, 2021",M,,,,,,
2,lisamurkowski,Murkowski,Lisa,Senate,Republican,Alaska,None,"December 20, 2002",F,,,,,,
3,SenDanSullivan,Sullivan,Daniel S.,Senate,Republican,Alaska,None,"January 3, 2015",M,,,,,,
4,SenMarkKelly,Kelly,Mark,Senate,Democratic,Arizona,None,"December 2, 2020",M,,,,,,
5,senatorsinema,Sinema,Kyrsten,Senate,Democratic,Arizona,None,"January 3, 2019",F,,,,,,
6,JohnBoozman,Boozman,John,Senate,Republican,Arkansas,None,"January 3, 2011",M,,,,,,
7,SenTomCotton,Cotton,Tom,Senate,Republican,Arkansas,None,"January 3, 2015",M,,,,,,
8,senfeinstein,Feinstein,Dianne,Senate,Democratic,California,None,"November 4, 1992",F,,,,,,
9,SenAlexPadilla,Padilla,Alex,Senate,Democratic,California,None,"January 20, 2021",M,,,,,,
10,SenatorBennet,Bennet,Michael,Senate,Democratic,Colorado,None,"January 22, 2009",M,,,,,,
11,SenatorHick,Hickenlooper,John,Senate,Democratic,Colorado,None,"January 3, 2021",M,,,,,,
12,SenBlumenthal,Blumenthal,Richard,Senate,Democratic,Connecticut,None,"January 3, 2011",M,,,,,,
13,ChrisMurphyCT,Murphy,Chris,Senate,Democratic,Connecticut,None,"January 3, 2013",M,,,,,,
14,senatorcarper,Carper,Tom,Senate,Democratic,Delaware,None,"January 3, 2001",M,,,,,,
15,ChrisCoons,Coons,Chris,Senate,Democratic,Delaware,None,"November 15, 2010",M,,,,,,
16,SenRubioPress,Rubio,Marco,Senate,Republican,Florida,None,"January 3, 2011",M,,,,,,
17,SenRickScott,Scott,Rick,Senate,Republican,Florida,None,"January 3, 2019",M,,,,,,
18,SenOssoff,Ossoff,Jon,Senate,Democratic,Georgia,None,"January 20, 2021",M,,,,,,
19,SenatorWarnock,Warnock,Raphael,Senate,Democratic,Georgia,None,"January 20, 2021",M,,,,,,
